split,name,n,term_count,safe_skip_label,skip_probability,skip_depth2,target_depth,target_score,depth2_score,single_time_s,depth1_time_s,depth2_time_s,target_time_s,all_depth_time_s
train,train_n14_0000_mixed,14,102,0,2.8051871936440875e-07,0,2,1395.7050000000002,1395.7050000000002,0.005027875002269866,0.03357787499771803,0.1527475000002596,0.1913532500002475,0.1913532500002475
train,train_n14_0001_deep,14,200,0,3.215159338765261e-08,0,2,3662.54,3662.54,0.010422499999549473,0.07082766699750209,0.3460314589974587,0.42728162599451025,0.42728162599451025
train,train_n14_0002_deep,14,164,0,8.011528994465028e-14,0,2,3481.445,3481.445,0.0085982079981477,0.05823308400067617,0.2726303329982329,0.3394616249970568,0.3394616249970568
train,train_n14_0003_shallow,14,53,0,0.00013530578871723264,0,2,647.09,647.09,0.0023840409994591027,0.014958750001824228,0.06687016599971685,0.08421295700100018,0.08421295700100018
train,train_n14_0004_deep,14,188,0,2.916837604782785e-10,0,2,3616.0950000000003,3616.0950000000003,0.009849916001257952,0.06777904199771001,0.30870345899893437,0.38633241699790233,0.38633241699790233
train,train_n14_0005_deep,14,145,0,2.84987411447446e-09,0,2,2555.65,2555.65,0.00757141600115574,0.05133725000268896,0.23251745800007484,0.29142612400391954,0.29142612400391954
train,train_n14_0006_mixed,14,95,0,0.0002637950819917023,0,2,1559.24,1559.24,0.004568416999973124,0.030080500000622123,0.14269691599838552,0.17734583299898077,0.17734583299898077
train,train_n14_0007_mixed,14,122,0,0.00028171075973659754,0,2,1856.8600000000001,1856.8600000000001,0.00614516600035131,0.04181533299924922,0.1871681249976973,0.23512862399729784,0.23512862399729784
train,train_n14_0008_shallow,14,53,0,0.013463695533573627,0,2,788.815,788.815,0.0022885420003149193,0.014495790997898439,0.060835249998490326,0.07761958299670368,0.07761958299670368
train,train_n14_0009_mixed,14,99,0,7.45131103485619e-07,0,2,1747.565,1747.565,0.004801333001523744,0.03187820899984217,0.1444257090006431,0.18110525100200903,0.18110525100200903
train,train_n14_0010_mixed,14,116,0,9.064028176908323e-07,0,2,1999.82,1999.82,0.005860666999069508,0.03896283300127834,0.17851525000151014,0.223338750001858,0.223338750001858
train,train_n14_0011_deep,14,204,0,4.293601474358866e-09,0,2,3516.96,3516.96,0.010862750001251698,0.07404120800129022,0.34313454100265517,0.4280384990051971,0.4280384990051971
train,train_n14_0012_shallow,14,82,0,5.35406252311077e-06,0,2,1304.325,1304.325,0.003787665998970624,0.02495887499753735,0.11341862500194111,0.14216516599844908,0.14216516599844908
