dataset,index,name,n,anf_terms,method,strategy,T,CNOT,depth,t_depth_proxy,gates,explicit_ancilla,peak_ancilla,n_qubits,score,correct,time_s,xag_gates,xag_and,xag_xor,xag_depth,caterpillar_commit,source,skipped,error,truth_table_hex
traditional,39,truth_n4_22,4,9,external_caterpillar_xag_api_best,best:xag_lowt,24,16,17,4,28,7,6,11,37.175,True,0.0,14,6,8,6,4c6f766,anf_xag_api,,,815E
traditional,40,truth_n4_23,4,7,external_caterpillar_xag_api_best,best:xag_lowt,20,10,15,4,21,6,5,10,30.835,True,0.0,10,5,5,5,4c6f766,anf_xag_api,,,9A1D
traditional,41,truth_n4_24,4,12,external_caterpillar_xag_api_best,best:xag_fast_lowt,40,20,24,6,41,11,10,15,61.57,True,0.0,20,10,10,6,4c6f766,anf_xag_api,,,6CB
traditional,42,truth_n4_25,4,7,external_caterpillar_xag_api_best,best:xag_fast_lowt,24,10,14,4,23,7,6,11,36.84,True,0.0,11,6,5,5,4c6f766,anf_xag_api,,,8FAD
traditional,43,truth_n4_26,4,8,external_caterpillar_xag_api_best,best:xag_lowt,24,12,16,4,25,7,6,11,36.97,True,0.0,12,6,6,5,4c6f766,anf_xag_api,,,32E7
traditional,44,truth_n4_27,4,9,external_caterpillar_xag_api_best,best:xag_lowt,24,14,17,4,27,7,6,11,37.085,True,0.0,13,6,7,6,4c6f766,anf_xag_api,,,B74D
traditional,45,truth_n4_28,4,9,external_caterpillar_xag_api_best,best:xag_lowt,28,16,17,4,30,8,7,12,43.195,True,0.0,15,7,8,6,4c6f766,anf_xag_api,,,A65E
traditional,46,truth_n4_29,4,7,external_caterpillar_xag_api_best,best:xag_fast_lowt,28,12,16,4,26,8,7,12,42.98,True,0.0,13,7,6,5,4c6f766,anf_xag_api,,,B38A
traditional,20,truth_n4_3,4,11,external_caterpillar_xag_api_best,best:xag_lowt,32,20,21,5,36,9,8,13,49.475,True,0.0,18,8,10,6,4c6f766,anf_xag_api,,,BDD6
traditional,47,truth_n4_30,4,9,external_caterpillar_xag_api_best,best:xag_lowt,24,14,18,4,27,7,6,11,37.1,True,0.0,13,6,7,6,4c6f766,anf_xag_api,,,8B81
traditional,48,truth_n4_31,4,10,external_caterpillar_xag_api_best,best:xag_lowt,36,16,20,6,35,10,9,14,55.29,True,0.0,17,9,8,6,4c6f766,anf_xag_api,,,6B65
traditional,49,truth_n4_32,4,8,external_caterpillar_xag_api_best,best:xag_fast_lowt,28,14,16,4,28,8,7,12,43.08,True,0.0,14,7,7,5,4c6f766,anf_xag_api,,,386E
traditional,50,truth_n4_33,4,6,external_caterpillar_xag_api_best,best:xag_lowt,20,8,13,4,19,6,5,10,30.705,True,0.0,9,5,4,5,4c6f766,anf_xag_api,,,72FF
traditional,51,truth_n4_34,4,5,external_caterpillar_xag_api_best,best:xag_lowt,24,8,12,4,20,7,6,11,36.7,True,0.0,10,6,4,5,4c6f766,anf_xag_api,,,96DA
traditional,52,truth_n4_35,4,6,external_caterpillar_xag_api_best,best:xag_lowt,20,8,13,3,19,6,5,10,30.705,True,0.0,9,5,4,5,4c6f766,anf_xag_api,,,4737
traditional,53,truth_n4_36,4,9,external_caterpillar_xag_api_best,best:xag_lowt,24,16,19,5,28,7,6,11,37.205,True,0.0,14,6,8,6,4c6f766,anf_xag_api,,,CF36
traditional,54,truth_n4_37,4,9,external_caterpillar_xag_api_best,best:xag_lowt,40,16,25,6,36,11,10,15,61.375,True,0.0,18,10,8,6,4c6f766,anf_xag_api,,,DE8A
traditional,55,truth_n4_38,4,8,external_caterpillar_xag_api_best,best:xag_lowt,28,12,17,4,27,8,7,12,43.005,True,0.0,13,7,6,5,4c6f766,anf_xag_api,,,1A9
traditional,56,truth_n4_39,4,11,external_caterpillar_xag_api_best,best:xag_lowt,24,18,19,4,31,7,6,11,37.315,True,0.0,15,6,9,6,4c6f766,anf_xag_api,,,C241
traditional,21,truth_n4_4,4,8,external_caterpillar_xag_api_best,best:xag_fast_lowt,36,14,18,5,32,10,9,14,55.15,True,0.0,16,9,7,5,4c6f766,anf_xag_api,,,4668
traditional,57,truth_n4_40,4,7,external_caterpillar_xag_api_best,best:xag_lowt,28,12,16,4,26,8,7,12,42.98,True,0.0,13,7,6,5,4c6f766,anf_xag_api,,,CE4A
traditional,58,truth_n4_41,4,6,external_caterpillar_xag_api_best,best:xag_lowt,32,8,16,5,25,9,8,13,48.81,True,0.0,12,8,4,5,4c6f766,anf_xag_api,,,28DF
traditional,59,truth_n4_42,4,11,external_caterpillar_xag_api_best,best:xag_lowt,36,18,23,5,37,10,9,14,55.435,True,0.0,18,9,9,6,4c6f766,anf_xag_api,,,B2B9
traditional,60,truth_n4_43,4,6,external_caterpillar_xag_api_best,best:xag_lowt,20,10,15,4,20,6,5,10,30.825,True,0.0,10,5,5,5,4c6f766,anf_xag_api,,,6C30
traditional,61,truth_n4_44,4,10,external_caterpillar_xag_api_best,best:xag_fast_lowt,32,18,18,5,34,9,8,13,49.33,True,0.0,17,8,9,6,4c6f766,anf_xag_api,,,571A
traditional,62,truth_n4_45,4,6,external_caterpillar_xag_api_best,best:xag_lowt,16,10,13,3,18,5,4,9,24.775,True,0.0,9,4,5,5,4c6f766,anf_xag_api,,,4722
traditional,63,truth_n4_46,4,10,external_caterpillar_xag_api_best,best:xag_fast_lowt,32,16,19,5,33,9,8,13,49.255,True,0.0,16,8,8,6,4c6f766,anf_xag_api,,,27CD
traditional,64,truth_n4_47,4,10,external_caterpillar_xag_api_best,best:xag_lowt,24,18,21,5,30,7,6,11,37.335,True,0.0,15,6,9,6,4c6f766,anf_xag_api,,,371E
traditional,65,truth_n4_48,4,13,external_caterpillar_xag_api_best,best:xag_fast_lowt,40,22,25,6,43,11,10,15,61.685,True,0.0,21,10,11,6,4c6f766,anf_xag_api,,,F50B
traditional,66,truth_n4_49,4,7,external_caterpillar_xag_api_best,best:xag_lowt,24,12,16,4,24,7,6,11,36.96,True,0.0,12,6,6,5,4c6f766,anf_xag_api,,,C374
traditional,22,truth_n4_5,4,8,external_caterpillar_xag_api_best,best:xag_lowt,16,12,14,3,21,5,4,9,24.9,True,0.0,10,4,6,5,4c6f766,anf_xag_api,,,3EB1
traditional,67,truth_n4_50,4,10,external_caterpillar_xag_api_best,best:xag_lowt,32,16,20,5,33,9,8,13,49.27,True,0.0,16,8,8,6,4c6f766,anf_xag_api,,,562B
traditional,68,truth_n4_51,4,4,external_caterpillar_xag_api_best,best:xag_lowt,16,6,9,3,14,5,4,9,24.515,True,0.0,7,4,3,4,4c6f766,anf_xag_api,,,1A2A
traditional,69,truth_n4_52,4,10,external_caterpillar_xag_api_best,best:xag_lowt,24,18,20,4,30,7,6,11,37.32,True,0.0,15,6,9,6,4c6f766,anf_xag_api,,,17BE
traditional,70,truth_n4_53,4,10,external_caterpillar_xag_api_best,best:xag_lowt,32,18,25,6,34,9,8,13,49.435,True,0.0,17,8,9,6,4c6f766,anf_xag_api,,,6142
traditional,71,truth_n4_54,4,8,external_caterpillar_xag_api_best,best:xag_fast_lowt,28,14,16,4,28,8,7,12,43.08,True,0.0,14,7,7,5,4c6f766,anf_xag_api,,,18C2
traditional,72,truth_n4_55,4,8,external_caterpillar_xag_api_best,best:xag_fast_lowt,32,14,16,5,30,9,8,13,49.1,True,0.0,15,8,7,5,4c6f766,anf_xag_api,,,5BE6
traditional,73,truth_n4_56,4,7,external_caterpillar_xag_api_best,best:xag_lowt,20,10,15,3,21,6,5,10,30.835,True,0.0,10,5,5,5,4c6f766,anf_xag_api,,,D8F5
traditional,74,truth_n4_57,4,8,external_caterpillar_xag_api_best,best:xag_fast_lowt,20,12,14,4,23,6,5,10,30.92,True,0.0,11,5,6,5,4c6f766,anf_xag_api,,,580D
traditional,75,truth_n4_58,4,9,external_caterpillar_xag_api_best,best:xag_lowt,28,14,17,4,29,8,7,12,43.105,True,0.0,14,7,7,6,4c6f766,anf_xag_api,,,9A8D
traditional,76,truth_n4_59,4,8,external_caterpillar_xag_api_best,best:xag_lowt,28,12,19,4,27,8,7,12,43.035,True,0.0,13,7,6,5,4c6f766,anf_xag_api,,,43B7
traditional,23,truth_n4_6,4,8,external_caterpillar_xag_api_best,best:xag_lowt,32,14,19,4,30,9,8,13,49.145,True,0.0,15,8,7,5,4c6f766,anf_xag_api,,,3924
traditional,77,truth_n4_60,4,9,external_caterpillar_xag_api_best,best:xag_lowt,36,14,20,5,33,10,9,14,55.19,True,0.0,16,9,7,6,4c6f766,anf_xag_api,,,CE9F
traditional,78,truth_n4_61,4,8,external_caterpillar_xag_api_best,best:xag_lowt,28,12,16,4,27,8,7,12,42.99,True,0.0,13,7,6,5,4c6f766,anf_xag_api,,,B1F
traditional,79,truth_n4_62,4,7,external_caterpillar_xag_api_best,best:xag_fast_lowt,24,10,13,4,23,7,6,11,36.825,True,0.0,11,6,5,5,4c6f766,anf_xag_api,,,BACF
traditional,80,truth_n4_63,4,8,external_caterpillar_xag_api_best,best:xag_lowt,24,14,16,4,26,7,6,11,37.06,True,0.0,13,6,7,5,4c6f766,anf_xag_api,,,759C
traditional,24,truth_n4_7,4,8,external_caterpillar_xag_api_best,best:xag_lowt,28,14,17,4,28,8,7,12,43.095,True,0.0,14,7,7,5,4c6f766,anf_xag_api,,,23B8
traditional,25,truth_n4_8,4,11,external_caterpillar_xag_api_best,best:xag_fast_lowt,28,18,19,5,33,8,7,12,43.335,True,0.0,16,7,9,6,4c6f766,anf_xag_api,,,BC89
traditional,26,truth_n4_9,4,10,external_caterpillar_xag_api_best,best:xag_lowt,32,16,20,5,33,9,8,13,49.27,True,0.0,16,8,8,6,4c6f766,anf_xag_api,,,1A3D
traditional,81,truth_n5_0,5,15,external_caterpillar_xag_api_best,best:xag_lowt,52,26,32,7,53,14,13,19,80.05,True,0.0,26,13,13,6,4c6f766,anf_xag_api,,,89463E85
traditional,82,truth_n5_1,5,12,external_caterpillar_xag_api_best,best:xag_lowt,52,22,27,6,48,14,13,19,79.765,True,0.0,24,13,11,7,4c6f766,anf_xag_api,,,1FF49B78
traditional,91,truth_n5_10,5,15,external_caterpillar_xag_api_best,best:xag_fast_lowt,60,28,30,7,58,16,15,21,92.15,True,0.0,29,15,14,6,4c6f766,anf_xag_api,,,9E574F7A
traditional,92,truth_n5_11,5,15,external_caterpillar_xag_api_best,best:xag_lowt,64,26,32,6,59,17,16,22,98.11,True,0.0,29,16,13,6,4c6f766,anf_xag_api,,,E2ACF72F
traditional,93,truth_n5_12,5,19,external_caterpillar_xag_api_best,best:xag_fast_lowt,68,34,37,8,69,18,17,23,104.605,True,0.0,34,17,17,8,4c6f766,anf_xag_api,,,DC98D2C1
traditional,94,truth_n5_13,5,12,external_caterpillar_xag_api_best,best:xag_lowt,68,22,30,7,56,18,17,23,103.89,True,0.0,28,17,11,6,4c6f766,anf_xag_api,,,5C941CF0
traditional,95,truth_n5_14,5,13,external_caterpillar_xag_api_best,best:xag_fast_lowt,64,22,29,7,55,17,16,22,97.865,True,0.0,27,16,11,6,4c6f766,anf_xag_api,,,93CD59BF
traditional,96,truth_n5_15,5,12,external_caterpillar_xag_api_best,best:xag_fast_lowt,48,22,24,6,46,13,12,18,73.7,True,0.0,23,12,11,7,4c6f766,anf_xag_api,,,3139D32C
traditional,97,truth_n5_16,5,17,external_caterpillar_xag_api_best,best:xag_fast_lowt,68,32,33,8,66,18,17,23,104.435,True,0.0,33,17,16,8,4c6f766,anf_xag_api,,,B45ED1F0
traditional,98,truth_n5_17,5,12,external_caterpillar_xag_api_best,best:xag_lowt,44,22,23,5,44,12,11,17,67.665,True,0.0,22,11,11,6,4c6f766,anf_xag_api,,,11CE5DD2
traditional,99,truth_n5_18,5,10,external_caterpillar_xag_api_best,best:xag_fast_lowt,44,16,20,5,39,12,11,17,67.33,True,0.0,19,11,8,6,4c6f766,anf_xag_api,,,BBB2599
traditional,100,truth_n5_19,5,15,external_caterpillar_xag_api_best,best:xag_fast_lowt,52,26,30,6,53,14,13,19,80.02,True,0.0,26,13,13,6,4c6f766,anf_xag_api,,,A9488D99
traditional,83,truth_n5_2,5,17,external_caterpillar_xag_api_best,best:xag_fast_lowt,84,32,41,8,74,22,21,27,128.635,True,0.0,37,21,16,8,4c6f766,anf_xag_api,,,F91E1D4C
traditional,101,truth_n5_20,5,18,external_caterpillar_xag_api_best,best:xag_fast_lowt,68,34,34,7,68,18,17,23,104.55,True,0.0,34,17,17,7,4c6f766,anf_xag_api,,,3A578A8E
traditional,102,truth_n5_21,5,13,external_caterpillar_xag_api_best,best:xag_fast_lowt,60,24,31,7,54,16,15,21,91.965,True,0.0,27,15,12,6,4c6f766,anf_xag_api,,,C5E7CE8A
traditional,103,truth_n5_22,5,18,external_caterpillar_xag_api_best,best:xag_lowt,72,32,36,9,69,19,18,24,110.51,True,0.0,34,18,16,8,4c6f766,anf_xag_api,,,4A15544D
traditional,104,truth_n5_23,5,15,external_caterpillar_xag_api_best,best:xag_lowt,72,28,38,9,64,19,18,24,110.33,True,0.0,32,18,14,7,4c6f766,anf_xag_api,,,FC377A4C
traditional,105,truth_n5_24,5,18,external_caterpillar_xag_api_best,best:xag_fast_lowt,68,32,33,7,67,18,17,23,104.445,True,0.0,33,17,16,7,4c6f766,anf_xag_api,,,146D3F31
traditional,106,truth_n5_25,5,13,external_caterpillar_xag_api_best,best:xag_lowt,56,24,28,6,52,15,14,20,85.9,True,0.0,26,14,12,7,4c6f766,anf_xag_api,,,DAF61A26
traditional,107,truth_n5_26,5,14,external_caterpillar_xag_api_best,best:xag_fast_lowt,68,26,36,8,60,18,17,23,104.18,True,0.0,30,17,13,7,4c6f766,anf_xag_api,,,3B982EF8
traditional,108,truth_n5_27,5,21,external_caterpillar_xag_api_best,best:xag_fast_lowt,72,40,40,9,76,19,18,24,110.96,True,0.0,38,18,20,8,4c6f766,anf_xag_api,,,DDD1DFB2
traditional,109,truth_n5_28,5,14,external_caterpillar_xag_api_best,best:xag_fast_lowt,64,26,28,6,58,17,16,22,98.04,True,0.0,29,16,13,6,4c6f766,anf_xag_api,,,19DB3AD0
traditional,110,truth_n5_29,5,14,external_caterpillar_xag_api_best,best:xag_fast_lowt,64,24,29,7,57,17,16,22,97.965,True,0.0,28,16,12,6,4c6f766,anf_xag_api,,,614FF3D7
traditional,84,truth_n5_3,5,19,external_caterpillar_xag_api_best,best:xag_fast_lowt,64,34,34,7,67,17,16,22,98.54,True,0.0,33,16,17,8,4c6f766,anf_xag_api,,,EC1B8CA1
traditional,111,truth_n5_30,5,18,external_caterpillar_xag_api_best,best:xag_lowt,72,32,36,8,69,19,18,24,110.51,True,0.0,34,18,16,8,4c6f766,anf_xag_api,,,47294739
traditional,112,truth_n5_31,5,20,external_caterpillar_xag_api_best,best:xag_fast_lowt,72,36,35,7,73,19,18,24,110.695,True,0.0,36,18,18,7,4c6f766,anf_xag_api,,,7412B293
traditional,113,truth_n5_32,5,15,external_caterpillar_xag_api_best,best:xag_fast_lowt,64,26,31,7,59,17,16,22,98.095,True,0.0,29,16,13,6,4c6f766,anf_xag_api,,,A2BC372F
traditional,114,truth_n5_33,5,19,external_caterpillar_xag_api_best,best:xag_fast_lowt,68,36,41,9,70,18,17,23,104.755,True,0.0,35,17,18,8,4c6f766,anf_xag_api,,,D58842DE
traditional,115,truth_n5_34,5,18,external_caterpillar_xag_api_best,best:xag_fast_lowt,56,32,31,6,61,15,14,20,86.355,True,0.0,30,14,16,7,4c6f766,anf_xag_api,,,5D65A441
traditional,116,truth_n5_35,5,20,external_caterpillar_xag_api_best,best:xag_fast_lowt,76,36,40,7,75,20,19,25,116.79,True,0.0,37,19,18,7,4c6f766,anf_xag_api,,,29A3B2E9
traditional,117,truth_n5_36,5,10,external_caterpillar_xag_api_best,best:xag_fast_lowt,52,18,25,7,44,14,13,19,79.535,True,0.0,22,13,9,7,4c6f766,anf_xag_api,,,5EC42E08
traditional,118,truth_n5_37,5,10,external_caterpillar_xag_api_best,best:xag_lowt,36,16,20,5,35,10,9,15,55.29,True,0.0,17,9,8,6,4c6f766,anf_xag_api,,,5AF30553
traditional,119,truth_n5_38,5,16,external_caterpillar_xag_api_best,best:xag_lowt,68,30,41,9,64,18,17,23,104.455,True,0.0,32,17,15,7,4c6f766,anf_xag_api,,,35A240AE
traditional,120,truth_n5_39,5,19,external_caterpillar_xag_api_best,best:xag_fast_lowt,80,36,38,8,76,21,20,26,122.77,True,0.0,38,20,18,7,4c6f766,anf_xag_api,,,AB9099A4
traditional,85,truth_n5_4,5,18,external_caterpillar_xag_api_best,best:xag_fast_lowt,76,32,39,8,71,20,19,25,116.575,True,0.0,35,19,16,7,4c6f766,anf_xag_api,,,60E7A113
traditional,121,truth_n5_40,5,18,external_caterpillar_xag_api_best,best:xag_fast_lowt,72,32,42,10,69,19,18,24,110.6,True,0.0,34,18,16,8,4c6f766,anf_xag_api,,,4458A885
traditional,122,truth_n5_41,5,17,external_caterpillar_xag_api_best,best:xag_lowt,60,32,32,7,62,16,15,21,92.38,True,0.0,31,15,16,7,4c6f766,anf_xag_api,,,B3AA7EFE
traditional,123,truth_n5_42,5,23,external_caterpillar_xag_api_best,best:xag_fast_lowt,80,42,41,9,83,21,20,26,123.125,True,0.0,41,20,21,7,4c6f766,anf_xag_api,,,EFC89849
traditional,124,truth_n5_43,5,11,external_caterpillar_xag_api_best,best:xag_lowt,52,20,26,6,46,14,13,19,79.65,True,0.0,23,13,10,7,4c6f766,anf_xag_api,,,AEFCFAD8
traditional,125,truth_n5_44,5,21,external_caterpillar_xag_api_best,best:xag_fast_lowt,84,38,42,10,81,22,21,27,128.96,True,0.0,40,21,19,7,4c6f766,anf_xag_api,,,A5E5A5AB
traditional,126,truth_n5_45,5,18,external_caterpillar_xag_api_best,best:xag_lowt,76,32,39,7,71,20,19,25,116.575,True,0.0,35,19,16,8,4c6f766,anf_xag_api,,,12476F57
traditional,127,truth_n5_46,5,19,external_caterpillar_xag_api_best,best:xag_fast_lowt,72,34,38,7,71,19,18,24,110.64,True,0.0,35,18,17,8,4c6f766,anf_xag_api,,,9BF00273
traditional,128,truth_n5_47,5,17,external_caterpillar_xag_api_best,best:xag_fast_lowt,72,30,34,8,67,19,18,24,110.38,True,0.0,33,18,15,8,4c6f766,anf_xag_api,,,A28DEFE3
traditional,129,truth_n5_48,5,22,external_caterpillar_xag_api_best,best:xag_fast_lowt,80,40,40,10,81,21,20,26,123.01,True,0.0,40,20,20,8,4c6f766,anf_xag_api,,,2BCFBE01
traditional,130,truth_n5_49,5,17,external_caterpillar_xag_api_best,best:xag_fast_lowt,64,30,35,7,63,17,16,22,98.355,True,0.0,31,16,15,7,4c6f766,anf_xag_api,,,88BD6407
traditional,86,truth_n5_5,5,14,external_caterpillar_xag_api_best,best:xag_lowt,64,26,31,6,58,17,16,22,98.085,True,0.0,29,16,13,7,4c6f766,anf_xag_api,,,142C3FE8
traditional,131,truth_n5_50,5,19,external_caterpillar_xag_api_best,best:xag_fast_lowt,68,36,37,8,70,18,17,23,104.695,True,0.0,35,17,18,8,4c6f766,anf_xag_api,,,BAA80DD4
traditional,132,truth_n5_51,5,14,external_caterpillar_xag_api_best,best:xag_fast_lowt,60,24,29,7,55,16,15,21,91.945,True,0.0,27,15,12,7,4c6f766,anf_xag_api,,,3EABEDCB
traditional,133,truth_n5_52,5,18,external_caterpillar_xag_api_best,best:xag_fast_lowt,72,32,34,7,69,19,18,24,110.48,True,0.0,34,18,16,7,4c6f766,anf_xag_api,,,29D4BEEF
traditional,134,truth_n5_53,5,16,external_caterpillar_xag_api_best,best:xag_lowt,64,30,36,8,62,17,16,22,98.36,True,0.0,31,16,15,7,4c6f766,anf_xag_api,,,7656AF72
traditional,135,truth_n5_54,5,12,external_caterpillar_xag_api_best,best:xag_fast_lowt,56,20,25,6,49,15,14,20,85.665,True,0.0,24,14,10,6,4c6f766,anf_xag_api,,,6123FDF7
traditional,136,truth_n5_55,5,14,external_caterpillar_xag_api_best,best:xag_fast_lowt,60,24,30,7,55,16,15,21,91.96,True,0.0,27,15,12,6,4c6f766,anf_xag_api,,,451B4CF3
traditional,137,truth_n5_56,5,11,external_caterpillar_xag_api_best,best:xag_fast_lowt,64,20,28,8,52,17,16,22,97.74,True,0.0,26,16,10,7,4c6f766,anf_xag_api,,,FD5166E6
traditional,138,truth_n5_57,5,17,external_caterpillar_xag_api_best,best:xag_fast_lowt,68,32,34,7,66,18,17,23,104.45,True,0.0,33,17,16,8,4c6f766,anf_xag_api,,,ECE66FA2
traditional,139,truth_n5_58,5,9,external_caterpillar_xag_api_best,best:xag_lowt,40,16,23,6,36,11,10,16,61.345,True,0.0,18,10,8,6,4c6f766,anf_xag_api,,,A3D70628
traditional,140,truth_n5_59,5,17,external_caterpillar_xag_api_best,best:xag_lowt,68,32,37,8,66,18,17,23,104.495,True,0.0,33,17,16,8,4c6f766,anf_xag_api,,,B02B61C4
traditional,87,truth_n5_6,5,21,external_caterpillar_xag_api_best,best:xag_fast_lowt,72,38,38,7,75,19,18,24,110.84,True,0.0,37,18,19,7,4c6f766,anf_xag_api,,,8D5288F1
traditional,141,truth_n5_60,5,19,external_caterpillar_xag_api_best,best:xag_lowt,68,34,37,9,69,18,17,23,104.605,True,0.0,34,17,17,8,4c6f766,anf_xag_api,,,8E944239
traditional,142,truth_n5_61,5,14,external_caterpillar_xag_api_best,best:xag_fast_lowt,48,26,25,6,50,13,12,18,73.915,True,0.0,25,12,13,6,4c6f766,anf_xag_api,,,3838B326
traditional,143,truth_n5_62,5,21,external_caterpillar_xag_api_best,best:xag_fast_lowt,88,38,41,8,83,23,22,28,134.965,True,0.0,41,22,19,8,4c6f766,anf_xag_api,,,AF42E12F
traditional,144,truth_n5_63,5,14,external_caterpillar_xag_api_best,best:xag_lowt,68,24,32,8,59,18,17,23,104.03,True,0.0,29,17,12,7,4c6f766,anf_xag_api,,,5304317F
traditional,88,truth_n5_7,5,14,external_caterpillar_xag_api_best,best:xag_lowt,48,24,27,6,49,13,12,18,73.855,True,0.0,24,12,12,7,4c6f766,anf_xag_api,,,4B0DBB41
traditional,89,truth_n5_8,5,21,external_caterpillar_xag_api_best,best:xag_fast_lowt,76,40,41,9,78,20,19,25,116.995,True,0.0,39,19,20,8,4c6f766,anf_xag_api,,,D453DD32
